"","x","y","date","day","latitude","longitude","month","distances","sumdistances"
"1",444421,1380747,2001-05-22 19:30:36,2001-05-22,16.9089193750906,3.98237157905931,"mayo",0,0
"2",444065,1380747,2001-05-22 20:01:12,2001-05-22,16.9088887390846,3.97918173159578,"mayo",356,356
"3",443547,1381030,2001-05-22 20:30:07,2001-05-22,16.9113691269496,3.97451590001092,"mayo",590.265194637122,946.265194637122
"4",443473,1381071,2001-05-22 21:00:28,2001-05-22,16.9117285670636,3.97384930729216,"mayo",84.5990543682375,1030.86424900536
"5",443476,1381075,2001-05-22 21:30:39,2001-05-22,16.911764512629,3.9738758426258,"mayo",5,1035.86424900536
"6",443484,1381094,2001-05-22 22:00:39,2001-05-22,16.9119347169437,3.9739458842452,"mayo",20.6155281280883,1056.47977713345
"7",443487,1381080,2001-05-22 22:30:21,2001-05-22,16.9118100676473,3.97397397311505,"mayo",14.3178210632764,1070.79759819672
"8",443464,1381071,2001-05-22 23:00:43,2001-05-22,16.9117277936434,3.9737686656236,"mayo",24.6981780704569,1095.49577626718
"9",443105,1381063,2001-05-22 23:30:17,2001-05-22,16.911625580434,3.97055264867657,"mayo",359.089125427101,1454.58490169428
"10",442780,1381221,2001-05-23 00:00:10,2001-05-23,16.9130073388317,3.96762697141135,"mayo",361.371000496719,1815.955902191
"11",442437,1381306,2001-05-23 00:30:14,2001-05-23,16.9137362689985,3.96454631647327,"mayo",353.37515475766,2169.33105694866
"12",442014,1381636,2001-05-23 01:00:54,2001-05-23,16.9166441802456,3.96072777636558,"mayo",536.49697110049,2705.82802804915
"13",441807,1381730,2001-05-23 01:30:18,2001-05-23,16.9174650798224,3.95886495207852,"mayo",227.343352662883,2933.17138071203
"14",441787,1381876,2001-05-23 02:01:04,2001-05-23,16.9187659254012,3.95867318826132,"mayo",147.363496158309,3080.53487687034
"15",441854,1382001,2001-05-23 02:30:36,2001-05-23,16.9198868686952,3.95926275171976,"mayo",141.823834386185,3222.35871125653
"16",441875,1381979,2001-05-23 03:00:32,2001-05-23,16.9196923932093,3.95945280568164,"mayo",30.4138126514911,3252.77252390802
"17",441891,1381974,2001-05-23 03:30:43,2001-05-23,16.9196491565266,3.95959659631512,"mayo",16.7630546142402,3269.53557852226
"18",441890,1381971,2001-05-23 04:00:43,2001-05-23,16.9196223059736,3.95958789454321,"mayo",3.16227766016838,3272.69785618243
"19",441875,1381977,2001-05-23 04:30:39,2001-05-23,16.9196745499872,3.95945297783891,"mayo",16.1554944214035,3288.85335060383
"20",441869,1381973,2001-05-23 05:00:14,2001-05-23,16.9196383492887,3.95939956206049,"mayo",7.21110255092798,3296.06445315476
"21",441877,1381980,2001-05-23 05:30:17,2001-05-23,16.9197014862402,3.9594706396307,"mayo",10.6301458127346,3306.69459896749
